"id","air_conditioning","amenities","balconies","barrier_free_accessibilty_entr","bike_parking","exterior_fire_escape","fire_alarm","garbage_chutes","heating_type","intercom","laundry_room","locker_or_storage_room","no_of_elevators","parking_type","pets_allowed","prop_management_company_name","property_type","rsn","separate_gas_meters","separate_hydro_meters","separate_water_meters","site_address","sprinkler_system","visitor_parking","ward","window_type","year_built","year_registered","no_of_storeys","emergency_power","non-smoking_building","no_of_units","no_of_accessible_parking_spaces","facilities_available","cooling_room","no_barrier_free_accessible_units","age_build"
11940,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","NO","NO",0,NA,"NO",NA,"PRIVATE",4153042,"NO","YES","NO","1 A  ELM GROVE AVE","NO","UNAVAILABLE","04","DOUBLE PANE",1957,2017,3,"NO","YES",12,0,"Green Bin / Organics","NO",0,"Post 1950"
11941,"NONE",NA,NA,NA,"Not Available","NO","YES","NO","HOT WATER",NA,"YES","YES",0,NA,"YES","REITTER MANAGEMENT CORPORATION","PRIVATE",4153043,"NO","YES","NO","3  ELM GROVE AVE","YES","UNAVAILABLE","04","DOUBLE PANE",1931,2019,3,"NO",NA,12,0,"Recycling bins","NO",NA,"Pre 1935"
11942,"NONE",NA,"YES","YES","10 indoor parking spots and 6 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",1,"Underground Garage , Surface Parking","YES",NA,"PRIVATE",4153047,"NO","NO","NO","109  INDIAN RD","YES","FREE","04","DOUBLE PANE",1970,2017,8,"NO","YES",38,12,"Green Bin / Organics","NO",1,"Post 1950"
11943,"NONE","Indoor recreation room , Outdoor rec facilities","YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",3,"Surface Parking","YES",NA,"TCHC",4153659,"NO","NO","NO","145  STRATHMORE BLVD","YES","PAID","14","DOUBLE PANE",1974,2017,14,"YES","YES",350,6,"Recycling bins","NO",4,"Post 1950"
11944,"INDIVIDUAL UNITS",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Surface Parking","YES",NA,"PRIVATE",4152569,"NO","NO","NO","1711  KINGSTON RD","NO","UNAVAILABLE","20","DOUBLE PANE",1960,2017,3,"YES","YES",18,11,"Recycling bins","NO",0,"Post 1950"
11945,"NONE",NA,"NO","YES","Not Available","NO","YES","NO","HOT WATER","NO","YES","YES",0,"Ground Level Garage","NO",NA,"PRIVATE",4152579,"NO","NO","NO","23  GLEN EVEREST RD","NO","FREE","20","DOUBLE PANE",1971,2017,3,"NO","YES",11,0,"Recycling bins","NO",0,"Post 1950"
11946,"NONE",NA,"YES","NO","Not Available","YES","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"PRIVATE",4153365,"NO","YES","NO","1  CLARENDON AVE","YES","UNAVAILABLE","12","SINGLE PANE",1929,2017,6,"NO","YES",42,0,"Green Bin / Organics","NO",0,"Pre 1935"
11947,"NONE",NA,"NO","NO","60 indoor parking spots and 0 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","YES",NA,"Underground Garage , Surface Parking","YES","CROMWELL MANAGEMENT INC.","PRIVATE",4153373,"NO","YES","NO","2  CLARENDON AVE","YES","UNAVAILABLE","12",NA,1929,2017,0,"YES","NO",49,0,"Green Bin / Organics","NO",0,"Pre 1935"
11948,NA,NA,"YES","YES","indoor parking spots and  outdoor parking spots",NA,NA,NA,NA,"YES",NA,NA,2,NA,NA,NA,"SOCIAL HOUSING",4153384,NA,NA,NA,"2  MARKET ST",NA,NA,"10","THERMAL",1997,NA,10,NA,"YES",141,NA,"Not Available",NA,12,"Post 1950"
11949,"NONE",NA,"YES","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg","YES","PARK PROPERTY MANAGEMENT INC.","PRIVATE",4153394,"NO","YES","NO","90  ADELAIDE ST E","YES","UNAVAILABLE","13","DOUBLE PANE",1980,2017,8,"YES","NO",60,0,"Green Bin / Organics","NO",0,"Post 1950"
11950,"INDIVIDUAL UNITS",NA,"NO","NO","5 indoor parking spots and 0 outdoor parking spots","YES","YES","YES","HOT WATER","YES","YES","NO",2,"Surface Parking","YES","NORTH TORONTO HERITAGE","PRIVATE",4153925,"NO","NO","NO","101  LAWTON BLVD","YES","BOTH","12","DOUBLE PANE",1934,2017,5,"NO","YES",46,0,"Green Bin / Organics","YES",0,"Pre 1935"
11951,"NONE",NA,"YES","YES","0 indoor parking spots and 40 outdoor parking spots","YES","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"PRIVATE",4153928,"NO","YES","NO","17  LASCELLES BLVD","YES","FREE","12","DOUBLE PANE",1957,2017,17,"NO","YES",157,0,"Green Bin / Organics","NO",157,"Post 1950"
11952,"INDIVIDUAL UNITS",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Underground Garage , Garage accessible thru buildg","YES",NA,"PRIVATE",4153934,"NO","YES","NO","130  ORIOLE PKWY","NO","UNAVAILABLE","12","DOUBLE PANE",1955,2017,4,"NO","NO",39,0,"Green Bin / Organics","NO",0,"Post 1950"
11953,"INDIVIDUAL UNITS",NA,"YES","YES","25 indoor parking spots and 10 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg","YES",NA,"PRIVATE",4153947,"NO","NO","NO","130  OLD FOREST HILL RD","YES","FREE","12","DOUBLE PANE",1967,2017,6,"NO","NO",42,2,"Green Bin / Organics","NO",3,"Post 1950"
11954,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",0,"Surface Parking","NO","TCH","TCHC",4153407,"NO","NO","NO","76  GRANGE AVE","YES","PAID","10","DOUBLE PANE",1993,2017,3,"YES","YES",11,1,"Green Bin / Organics","NO",1,"Post 1950"
11955,"NONE","Indoor recreation room","NO","YES","12 indoor parking spots and 12 outdoor parking spots","NO","YES","NO","ELECTRIC","YES","YES","YES",1,"Surface Parking","YES",NA,"SOCIAL HOUSING",4153416,"NO","NO","NO","25  LEONARD AVE","YES","UNAVAILABLE","11","DOUBLE PANE",1960,2017,6,"NO","NO",77,3,"Green Bin / Organics","YES",0,"Post 1950"
11956,"INDIVIDUAL UNITS",NA,"YES","YES","0 indoor parking spots and 30 outdoor parking spots","YES","YES","YES","ELECTRIC","YES","YES","NO",0,"Underground Garage , Garage accessible thru buildg , Surface Parking","NO","L/T INVESTMENTS INC","PRIVATE",4153418,"NO","NO","NO","99  BELLEVUE AVE","YES","UNAVAILABLE","11","DOUBLE PANE",1988,2018,4,"NO","YES",16,0,"Green Bin / Organics","NO",1,"Post 1950"
11957,"NONE","Indoor recreation room","YES","YES","Not Available","YES","YES","YES","HOT WATER","YES","YES","NO",3,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"TCHC",4153419,"NO","NO","NO","34  OXFORD ST","YES","FREE","11","DOUBLE PANE",1979,2017,5,"YES","YES",189,6,"Recycling bins","NO",1,"Post 1950"
11958,"NONE",NA,"YES","NO","0 indoor parking spots and 3 outdoor parking spots","YES","YES","NO","HOT WATER","YES","YES","NO",0,"Surface Parking","NO","1771105 ONTARIO LTD","PRIVATE",4153420,"NO","NO","NO","162  HURON ST","NO","UNAVAILABLE","11","DOUBLE PANE",1903,2017,4,"NO","YES",18,1,"Green Bin / Organics","NO",0,"Pre 1935"
11959,"CENTRAL AIR","Indoor recreation room , Outdoor rec facilities , Indoor exercise room","YES","YES","120 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","FORCED AIR GAS","YES","NO","YES",4,"Underground Garage , Garage accessible thru buildg","YES","CONCERT REALTY SERVICES LTD.","PRIVATE",4153423,"NO","YES","YES","167  CHURCH ST","YES","PAID","13","DOUBLE PANE",2005,2017,28,"YES","NO",388,1,"Green Bin / Organics","YES",0,"Post 1950"
11960,"INDIVIDUAL UNITS",NA,"NO","NO","Not Available","YES","YES","NO","HOT WATER","NO","YES","YES",0,"Ground Level Garage","NO",NA,"SOCIAL HOUSING",4153425,"NO","NO","NO","244  CHURCH ST","YES","UNAVAILABLE","13","SINGLE PANE",1900,2017,3,"YES","YES",60,0,"Green Bin / Organics","NO",0,"Pre 1935"
11961,"NONE",NA,"YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Parking Deck","YES","FIDES REAL ESTATE LIMITED","PRIVATE",4153958,"NO","YES","NO","15  SHALLMAR BLVD","YES","FREE","08","DOUBLE PANE",1962,2017,7,"NO","NO",78,1,"Green Bin / Organics","NO",78,"Post 1950"
11962,"NONE","Indoor recreation room","YES","NO","0 indoor parking spots and 5 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","NO",1,NA,"YES","MAINSTAY HOUSING","SOCIAL HOUSING",4153665,"NO","NO","NO","2363  QUEEN ST E","YES","UNAVAILABLE","19","DOUBLE PANE",1940,2017,4,"NO","NO",20,0,"Green Bin / Organics","YES",0,"1935-1950"
11963,NA,NA,NA,NA,"indoor parking spots and  outdoor parking spots",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"PRIVATE",4153078,NA,NA,NA,"301  LANSDOWNE AVE",NA,NA,"09","DOUBLE PANE",1932,NA,5,NA,NA,35,NA,"Not Available",NA,NA,"Pre 1935"
11964,"INDIVIDUAL UNITS",NA,"NO","NO","Not Available","YES","YES","NO","FORCED AIR GAS","YES","NO","NO",0,"Underground Garage , Surface Parking","YES","GBS PROPERTIES LTD.","PRIVATE",4153099,"YES","YES","NO","685  LANSDOWNE AVE","YES","UNAVAILABLE","09","DOUBLE PANE",1985,2017,3,"YES","YES",30,24,"Recycling bins","NO",0,"Post 1950"
11965,"INDIVIDUAL UNITS",NA,"NO","NO","Not Available","NO","YES","YES","FORCED AIR GAS","YES","YES","YES",2,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking","YES","AKELIUS CANADA LTD","PRIVATE",4153102,"NO","YES","NO","730  ST CLARENS AVE","YES","FREE","09","DOUBLE PANE",1974,2017,18,"YES","NO",275,0,"Recycling bins","NO",0,"Post 1950"
11966,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Surface Parking","YES","AKELIUS CANADA LTD","PRIVATE",4153690,"NO","YES","NO","501  KINGSTON RD","YES","UNAVAILABLE","19","DOUBLE PANE",1950,2018,7,"NO","YES",75,0,"Green Bin / Organics","NO",0,"Post 1950"
11967,"NONE",NA,"YES","YES","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Surface Parking","NO","TCH","TCHC",4153696,"NO","NO","NO","11  NEWBOLD AVE","YES","FREE","19","DOUBLE PANE",1984,2017,4,"YES","YES",21,1,"Green Bin / Organics","NO",1,"Post 1950"
11968,"NONE",NA,"YES","YES","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Surface Parking","YES",NA,"PRIVATE",4153699,"NO","YES","NO","1691  GERRARD ST E","YES","UNAVAILABLE","19","DOUBLE PANE",1958,2017,7,"NO","YES",66,0,"Recycling bins","NO",66,"Post 1950"
11969,"INDIVIDUAL UNITS",NA,"NO","YES","Not Available","NO","YES","NO","FORCED AIR GAS","YES","YES","NO",1,NA,"YES",NA,"PRIVATE",4153703,"NO","NO","NO","1908  GERRARD ST E","YES","UNAVAILABLE","19","DOUBLE PANE",2009,2017,5,"NO","YES",28,0,"Recycling bins","NO",0,"Post 1950"
11970,"NONE","Indoor recreation room","YES","YES","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",1,"Surface Parking","YES",NA,"TCHC",4153706,"NO","NO","NO","133  MERRILL AVE E","YES","BOTH","19","DOUBLE PANE",1960,2017,3,"YES","YES",42,6,"Green Bin / Organics","NO",1,"Post 1950"
11971,"NONE",NA,"YES","NO","0 indoor parking spots and 8 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Surface Parking","YES",NA,"PRIVATE",4153708,"NO","YES","NO","5  BENLAMOND AVE","YES","UNAVAILABLE","19","DOUBLE PANE",1960,2017,5,"YES","NO",55,0,"Green Bin / Organics","NO",0,"Post 1950"
11972,"NONE","Indoor recreation room","YES","YES","Not Available","NO","YES","YES","HOT WATER","YES","YES","NO",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"TCHC",4153714,"NO","NO","NO","520  KINGSTON RD","YES","BOTH","19","DOUBLE PANE",1992,2017,5,"YES","YES",108,6,"Green Bin / Organics","NO",2,"Post 1950"
11973,"NONE",NA,"YES","NO","0 indoor parking spots and 24 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Underground Garage , Surface Parking","YES",NA,"PRIVATE",4153715,"NO","YES","NO","474  KINGSTON RD","YES","UNAVAILABLE","19","DOUBLE PANE",1958,2017,4,"YES","NO",38,0,"Green Bin / Organics","NO",0,"Post 1950"
11974,"NONE","Outdoor rec facilities","NO","NO","0 indoor parking spots and 30 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","NO",0,NA,"YES","NJS CAPITAL MANAGEMENT","PRIVATE",4153153,"NO","YES","NO","34  HEYDON PARK RD","NO","UNAVAILABLE","09","DOUBLE PANE",1925,2018,3,"NO","NO",31,0,"Green Bin / Organics","NO",0,"Pre 1935"
11975,"NONE","Outdoor rec facilities","NO","NO","0 indoor parking spots and 6 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Carport , Surface Parking","YES",NA,"PRIVATE",4153730,"NO","NO","NO","40  PARK RD","YES","UNAVAILABLE","11","DOUBLE PANE",1954,2017,7,"NO","NO",39,0,"Recycling bins","NO",0,"Post 1950"
11976,"NONE",NA,"YES","NO","0 indoor parking spots and 12 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Surface Parking","YES",NA,"PRIVATE",4153747,"NO","YES","NO","49  GLEN ELM AVE","YES","FREE","12","DOUBLE PANE",1954,2017,4,"NO","NO",71,0,"Recycling bins","NO",0,"Post 1950"
11977,"NONE",NA,"NO","NO","0 indoor parking spots and 1 outdoor parking spots","YES","YES","NO","HOT WATER","YES","YES","NO",0,NA,"YES","BBS PROPERTY MANAGEMENT","PRIVATE",4153168,"NO","NO","NO","496  MONTROSE AVE","NO","UNAVAILABLE","11","DOUBLE PANE",1930,2017,3,"NO","NO",24,0,"Green Bin / Organics","NO",0,"Pre 1935"
11978,"INDIVIDUAL UNITS","Indoor recreation room","YES","YES","0 indoor parking spots and 5 outdoor parking spots","NO","YES","YES","ELECTRIC","YES","YES","NO",2,"Carport","YES","WIGWAMEN INCORPORATED","SOCIAL HOUSING",4153176,"NO","NO","NO","14  SPADINA RD","YES","FREE","11","DOUBLE PANE",1972,2017,6,"NO","NO",103,0,"Green Bin / Organics","NO",9,"Post 1950"
11979,"NONE",NA,"NO","NO","Not Available","YES","YES","NO","HOT WATER","YES","YES","NO",0,NA,"YES",NA,"PRIVATE",4153178,"YES","YES","NO","334  BLOOR ST W","YES","UNAVAILABLE","11","DOUBLE PANE",1919,2017,3,"NO","YES",24,0,"Recycling bins","NO",0,"Pre 1935"
11980,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Underground Garage","YES","AMELIN PROPERTY MANAGEMENT","PRIVATE",4153757,"NO","YES","YES","657  BALLIOL ST","YES","FREE","15","DOUBLE PANE",1957,2017,4,"YES","NO",29,5,"Green Bin / Organics","NO",0,"Post 1950"
11981,NA,NA,NA,NA,"indoor parking spots and  outdoor parking spots",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"PRIVATE",4153437,NA,NA,NA,"181-183  GERRARD ST E",NA,NA,"13","DOUBLE PANE",1902,NA,4,NA,NA,24,NA,"Not Available",NA,NA,"Pre 1935"
11982,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,NA,"NO",NA,"PRIVATE",4153991,"NO","YES","YES","115  EGLINTON AVE W","NO","UNAVAILABLE","12","DOUBLE PANE",1950,2017,3,"YES","NO",18,0,"Green Bin / Organics","NO",0,"Post 1950"
11983,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Underground Garage","NO","WILLIAM MCBRIEN LIMITED","PRIVATE",4153992,"NO","YES","NO","48  MAXWELL AVE","NO","UNAVAILABLE","12","DOUBLE PANE",1928,2017,3,"NO","NO",29,6,"Green Bin / Organics","NO",0,"Pre 1935"
11984,"NONE",NA,"YES","NO","8 indoor parking spots and 0 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Underground Garage","NO","WALL REAL ESTATE LIMITED","PRIVATE",4154000,"NO","YES","NO","905  AVENUE RD","YES","UNAVAILABLE","12","DOUBLE PANE",1960,2017,3,"NO","YES",10,0,"Green Bin / Organics","NO",0,"Post 1950"
11985,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","CROMWELL MANAGEMENT INC.","PRIVATE",4154005,"NO","YES","NO","990  AVENUE RD","YES","UNAVAILABLE","12","DOUBLE PANE",1965,2017,4,"NO","YES",40,0,"Green Bin / Organics","NO",0,"Post 1950"
11986,"INDIVIDUAL UNITS","Indoor pool , Sauna","YES","NO","0 indoor parking spots and 20 outdoor parking spots","NO","YES","YES","ELECTRIC","YES","YES","YES",4,NA,"YES","CAPREIT","PRIVATE",4154012,"NO","YES","NO","411  DUPLEX AVE","YES","UNAVAILABLE","08","DOUBLE PANE",1974,2017,23,"YES","NO",458,0,"Green Bin / Organics","NO",0,"Post 1950"
11987,"NONE",NA,"YES","NO","10 indoor parking spots and 0 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","NO",2,"Underground Garage","YES","683927 ONTARIO LIMITED","PRIVATE",4153475,"NO","YES","NO","437  JARVIS ST","YES","UNAVAILABLE","13","DOUBLE PANE",1960,2017,7,"NO","NO",76,37,"Recycling bins","NO",0,"Post 1950"
11988,"NONE",NA,"NO","NO","Not Available","YES","YES","NO","HOT WATER","YES","YES","NO",0,"Ground Level Garage","YES","AKELIUS CANADA LTD","PRIVATE",4153493,"NO","YES","NO","56  MAITLAND ST","NO","UNAVAILABLE","13","DOUBLE PANE",1928,2017,4,"NO","YES",47,0,"Green Bin / Organics","NO",0,"Pre 1935"
11989,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES","PINEDALE PROPERTIES LTD","PRIVATE",4154019,"NO","YES","NO","2730  YONGE ST","YES","UNAVAILABLE","08","DOUBLE PANE",1954,2017,7,"NO","YES",63,0,"Green Bin / Organics","NO",0,"Post 1950"
11990,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","NO",0,"Surface Parking","NO",NA,"PRIVATE",4154020,"NO","YES","NO","2770  YONGE ST","YES","UNAVAILABLE","08","SINGLE PANE",1950,2017,4,"NO","YES",50,21,"Green Bin / Organics","NO",0,"Post 1950"
11991,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Underground Garage","NO","RANEE MANAGEMENT","PRIVATE",4154030,"NO","YES","NO","45  LORINDALE AVE","NO","UNAVAILABLE","08","DOUBLE PANE",1957,2017,3,"YES","NO",25,0,"Green Bin / Organics","NO",0,"Post 1950"
11992,"NONE",NA,"YES","YES","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",1,"Ground Level Garage , Surface Parking","YES","OLIVE CORP","PRIVATE",4154038,"NO","YES","NO","540  DAWES RD","NO","FREE","19","SINGLE PANE",1959,2017,4,"NO","NO",43,0,"Recycling bins","NO",43,"Post 1950"
11993,"NONE",NA,"YES","YES","Not Available","NO","YES","NO","FORCED AIR GAS","YES","YES","YES",1,"Underground Garage , Garage accessible thru buildg , Surface Parking","NO",NA,"PRIVATE",4153498,"NO","YES","NO","91  WELLESLEY ST E","YES","FREE","13","SINGLE PANE",1960,2017,7,"NO","NO",61,0,"Recycling bins","NO",1,"Post 1950"
11994,"NONE","Indoor pool , Outdoor rec facilities","YES","YES","30 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","FORCED AIR GAS","YES","YES","YES",2,"Underground Garage , Garage accessible thru buildg , Surface Parking","NO","WESTDALE PROPERTIES","PRIVATE",4153501,"NO","YES","NO","100  MAITLAND ST","YES","PAID","13","DOUBLE PANE",1965,2017,18,"YES","NO",102,0,"Recycling bins","YES",0,"Post 1950"
11995,NA,NA,NA,NA,"indoor parking spots and  outdoor parking spots",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"PRIVATE",4153503,NA,NA,NA,"135  EARL PL",NA,NA,"13","SINGLE PANE",1925,NA,4,NA,NA,16,NA,"Not Available",NA,NA,"Pre 1935"
11996,"INDIVIDUAL UNITS",NA,"NO","NO","Not Available","YES","YES","NO","ELECTRIC","YES","YES","YES",0,NA,"YES",NA,"PRIVATE",4153506,"NO","YES","NO","83  GLOUCESTER ST","YES","UNAVAILABLE","13","DOUBLE PANE",1940,2017,3,"NO","NO",27,0,"Green Bin / Organics","NO",0,"1935-1950"
11997,"NONE",NA,"YES","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking","YES","METCAP LIVING MANAGEMENT INC.","PRIVATE",4153510,"NO","YES","NO","80  WELLESLEY ST E","YES","PAID","13","DOUBLE PANE",1963,2017,12,"NO","NO",76,0,"Green Bin / Organics","NO",0,"Post 1950"
11998,"NONE","Outdoor pool , Outdoor rec facilities , Indoor exercise room","YES","NO","Not Available","NO","YES","YES","ELECTRIC","YES","YES","YES",2,"Ground Level Garage","YES","METCAP LIVING MANAGEMENT INC.","PRIVATE",4153514,"NO","NO","NO","15  DUNDONALD ST","YES","PAID","13","DOUBLE PANE",1970,2017,24,"NO","NO",172,0,"Green Bin / Organics","NO",0,"Post 1950"
11999,"NONE",NA,"YES","NO","30 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage","YES",NA,"PRIVATE",4153521,"NO","YES","NO","135  ISABELLA ST","YES","PAID","13","DOUBLE PANE",1960,2017,9,"NO","YES",79,83,"Recycling bins","NO",0,"Post 1950"
12000,"NONE",NA,"YES","NO","10 indoor parking spots and 0 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",1,"Underground Garage","YES","6716741 CANADA INC","PRIVATE",4153856,"NO","YES","NO","172  SHERWOOD AVE","YES","UNAVAILABLE","15","DOUBLE PANE",1965,2017,3,"NO","YES",18,0,"Green Bin / Organics","NO",0,"Post 1950"
12001,"NONE",NA,"YES","YES","32 indoor parking spots and 16 outdoor parking spots","NO","YES","NO","HOT WATER","YES","YES","NO",2,"Underground Garage , Surface Parking","NO",NA,"PRIVATE",4153225,"NO","YES","NO","177  ST GEORGE ST","YES","FREE","11","DOUBLE PANE",1964,2017,8,"NO","NO",57,0,"Green Bin / Organics","NO",0,"Post 1950"
12002,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,NA,"YES",NA,"PRIVATE",4153858,"NO","YES","NO","2707  YONGE ST","NO","UNAVAILABLE","15","DOUBLE PANE",1960,2017,4,"NO","NO",48,0,"Recycling bins","NO",0,"Post 1950"
12003,"NONE",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Surface Parking","NO",NA,"PRIVATE",4153869,"NO","YES","NO","153  RANLEIGH AVE","YES","UNAVAILABLE","15","DOUBLE PANE",1950,2017,4,"NO","YES",28,0,"Recycling bins","NO",0,"Post 1950"
12004,"NONE",NA,"YES","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",1,"Surface Parking","NO",NA,"PRIVATE",4153870,"NO","YES","NO","56  RANLEIGH AVE","YES","FREE","15","DOUBLE PANE",1959,2017,4,"NO","YES",74,0,"Green Bin / Organics","NO",0,"Post 1950"
12005,"NONE",NA,"YES","NO","20 indoor parking spots and 20 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","NO",1,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Carport , Surface Parking","YES","RPMS","PRIVATE",4153877,"NO","YES","NO","1  ORIOLE RD","YES","PAID","12","DOUBLE PANE",1955,2017,8,"YES","NO",80,0,"Green Bin / Organics","YES",0,"Post 1950"
12006,"CENTRAL AIR",NA,"NO","NO","10 indoor parking spots and 0 outdoor parking spots","NO","YES","NO","FORCED AIR GAS","YES","YES","YES",1,"Underground Garage , Garage accessible thru buildg","NO","NINETY WARREN ROAD APARTMENTS","PRIVATE",4153888,"NO","NO","NO","90  WARREN RD","YES","UNAVAILABLE","12","DOUBLE PANE",1963,2017,5,"NO","NO",79,87,"Green Bin / Organics","NO",0,"Post 1950"
12007,"INDIVIDUAL UNITS",NA,"NO","YES","0 indoor parking spots and 10 outdoor parking spots","NO","YES","YES","HOT WATER","YES","YES","YES",1,"Ground Level Garage , Carport , Surface Parking","YES","LOFT COMMUNITY SERVICES","SOCIAL HOUSING",4153334,"NO","YES","NO","339  ALBANY AVE","YES","FREE","12","DOUBLE PANE",1993,2017,4,"NO","NO",42,2,"Green Bin / Organics","YES",2,"Post 1950"
12008,"NONE",NA,"NO","NO","0 indoor parking spots and 8 outdoor parking spots","NO","YES","NO","FORCED AIR GAS","YES","YES","YES",1,NA,"NO",NA,"PRIVATE",4153895,"NO","YES","NO","404  SPADINA RD","YES","UNAVAILABLE","12","DOUBLE PANE",1931,2017,4,"NO","NO",31,0,"Green Bin / Organics","NO",0,"Pre 1935"
12009,"INDIVIDUAL UNITS",NA,"NO","NO","Not Available","NO","YES","NO","HOT WATER","YES","YES","YES",0,"Ground Level Garage , Garage accessible thru buildg","YES","AKELIUS CANADA LTD","PRIVATE",4153902,"NO","YES","NO","312  LONSDALE RD","NO","UNAVAILABLE","12","DOUBLE PANE",1927,2017,4,"NO","YES",19,0,"Recycling bins","NO",0,"Pre 1935"
12010,"NONE",NA,"YES","NO","10 indoor parking spots and 0 outdoor parking spots",NA,NA,NA,"HOT WATER","YES",NA,NA,1,"Underground Garage , Garage accessible thru buildg",NA,NA,"PRIVATE",4153905,"NO","YES","NO","30  THELMA AVE",NA,"UNAVAILABLE","12","DOUBLE PANE",1962,2017,3,"NO","YES",32,30,"Recycling bins","NO",0,"Post 1950"
12011,"NONE",NA,"YES","NO","Not Available","YES","YES","NO","FORCED AIR GAS","YES","YES","NO",0,"Carport","YES",NA,"PRIVATE",4153907,"YES","YES","NO","321  LONSDALE RD","YES","UNAVAILABLE","12","DOUBLE PANE",1920,2017,5,"NO","NO",12,0,"Green Bin / Organics","NO",0,"Pre 1935"
12012,"NONE",NA,"YES","NO","Not Available","NO","YES","NO","FORCED AIR GAS","YES","YES","YES",1,"Underground Garage , Garage accessible thru buildg , Surface Parking","YES",NA,"PRIVATE",4153913,"NO","YES","NO","5  MALLORY GDNS","YES","UNAVAILABLE","12","DOUBLE PANE",1982,2017,11,"NO","NO",60,0,"Green Bin / Organics","NO",0,"Post 1950"
12013,"NONE",NA,"YES","NO","Not Available","NO","YES","YES","HOT WATER","YES","YES","YES",2,"Underground Garage , Surface Parking","YES","MEDALLION CORPORATION","PRIVATE",4155830,"NO","YES","NO","26  CARLUKE CRES","YES","BOTH","15","DOUBLE PANE",1964,2017,14,"NO","NO",157,3,"Recycling bins","NO",0,"Post 1950"
